In
150
165
180.51
196.322
212.19
227.834
242.951
257.23
270.364
282.067
292.091
300.238
306.369
310.411
312.352
312.245
310.194
306.347
300.883
294.002
285.913
276.828
266.952
256.478
245.582
234.425
223.146
211.867
200.691
189.702
178.971
168.551
158.487
148.808
139.536
130.686
122.263
114.27
106.703
99.5541
92.8142
86.471
80.5105
74.9176
69.6764
64.7705
60.1833
55.8982
51.8989
48.1692
44.6935
41.4565
38.4438
35.6413
33.0357
30.6142
28.3649
26.2762
24.3373
22.5382
20.8692
19.3214
17.8863
16.556
15.3231
14.1807
13.1224
12.1421
11.2343
10.3936
9.61531
8.89476
8.22777
7.61043
7.0391
6.5104
6.02117
5.56852
5.14973
4.76229
4.40388
4.07234
3.76567
3.48201
3.21966
2.97703
2.75262
2.5451
2.35318
2.17571
2.0116
1.85984
1.71952
1.58976
1.46979
1.35885
1.25628
1.16145
1.07376
0.992693
